id,Product Name,Brand,Main Category,Subcategory,Size / Unit,Price,Benchmark Price,Benchmark Source,Benchmark URL,Last Checked,Pricing Note
golden-penny-spaghetti-500g,Golden Penny Spaghetti,Golden Penny,Foodstuffs,Pasta,500g,1295,,,,,
mama-s-pride-spaghetti-500g,Mama's Pride Spaghetti,Mama's Pride,Foodstuffs,Pasta,500g,1310,,,,,
honeywell-spaghetti-500g,Honeywell Spaghetti,Honeywell,Foodstuffs,Pasta,500g,1250,,,,,
dangote-spaghetti-500g,Dangote Spaghetti,Dangote,Foodstuffs,Pasta,500g,1250,,,,,
golden-penny-macaroni-500g,Golden Penny Macaroni,Golden Penny,Foodstuffs,Pasta,500g,1295,,,,,
power-pasta-spaghetti-500g,Power Pasta Spaghetti,Power Pasta,Foodstuffs,Pasta,500g,1200,,,,,
barilla-spaghetti-no-5-500g,Barilla Spaghetti No.5,Barilla,Foodstuffs,Pasta,500g,3995,,,,,
caprice-parboiled-rice-5kg,Caprice Parboiled Rice,Caprice,Foodstuffs,Rice,5kg,9000,,,,,
mama-gold-rice-5kg,Mama Gold Rice,Mama Gold,Foodstuffs,Rice,5kg,12500,,,,,
royal-stallion-rice-5kg,Royal Stallion Rice,Royal Stallion,Foodstuffs,Rice,5kg,13000,,,,,
big-bull-rice-5kg,Big Bull Rice,Big Bull,Foodstuffs,Rice,5kg,12500,,,,,
basmati-rice-5kg,Basmati Rice,Tilda,Foodstuffs,Rice,5kg,42000,,,,,
aeroplane-basmati-rice-5kg,Aeroplane Basmati Rice,Aeroplane,Foodstuffs,Rice,5kg,28500,,,,,
tropical-sun-golden-sella-basmati-rice-2kg,Tropical Sun Golden Sella Basmati Rice,Tropical Sun,Foodstuffs,Rice,2kg,12400,,,,,
gino-viet-fragrant-kdm-rice-5kg,Gino Viet Fragrant KDM Rice,Gino,Foodstuffs,Rice,5kg,24450,,,,,
lamis-parboiled-rice-1kg,Lamis Parboiled Rice,Lamis,Foodstuffs,Rice,1kg,4925,,,,,
indomie-instant-noodles-chicken-70g-x-40,Indomie Instant Noodles Chicken,Indomie,Foodstuffs,Noodles,70g x 40,12200,,,,,
indomie-onion-chicken-noodles-70g-x-40,Indomie Onion Chicken Noodles,Indomie,Foodstuffs,Noodles,70g x 40,11800,,,,,
